('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         844682 function calls (820384 primitive calls) in 2.352 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1510    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1449    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1440    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
     1273    0.001    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1273    0.075    0.000    0.075    0.000 {built-in method nt.stat}
     1211    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
 1137/196    0.006    0.000    0.069    0.000 _parser.py:452(_parse_sub)
     1085    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1032    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1014    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      991    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      943    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      943    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      936    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      894    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      894    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      887    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
  884/877    0.010    0.000    0.072    0.000 {built-in method builtins.__build_class__}
      862    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      844    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
      823    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      821    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      806    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      801    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      786    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      769    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      767    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      753    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      747    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      712    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      703    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
      699    0.000    0.000    0.000    0.000 _synchronization.py:243(__enter__)
      699    0.000    0.000    0.000    0.000 _synchronization.py:247(__exit__)
      695    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      695    0.006    0.000    0.009    0.000 _compiler.py:243(_optimize_charset)
      675    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      670    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
   659/14    0.001    0.000    0.516    0.037 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      630    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      623    0.000    0.000    0.000    0.000 ssl.py:1082(_checkClosed)
      612    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      598    0.006    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      598    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      584    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      563    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      549    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
      549    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
  545/338    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      545    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:632(cached)
      543    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      534    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      534    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      528    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
      517    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      517    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      514    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      475    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      472    0.003    0.000    0.004    0.000 css_types.py:41(__init__)
      471    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      471    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      471    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      471    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      471    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      471    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      471    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      471    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
      471    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      471    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      471    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      470    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
      468    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      468    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      454    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      439    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
      427    0.000    0.000    0.000    0.000 enum.py:1267(__hash__)
      421    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      392    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
      392    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      389    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
  388/387    0.001    0.000    0.004    0.000 frame_buffer.py:119(__next__)
      387    0.000    0.000    0.000    0.000 config.py:50(trace)
      385    0.001    0.000    0.002    0.000 http2.py:452(_write_outgoing_data)
      385    0.000    0.000    0.000    0.000 sync.py:130(write)
      385    0.000    0.000    0.000    0.000 connection.py:1391(data_to_send)
      376    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      361    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    358/1    0.009    0.000    2.352    2.352 {built-in method builtins.exec}
      356    0.000    0.000    0.002    0.000 typing.py:730(<genexpr>)
      344    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      338    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      338    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      330    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      330    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      326    0.000    0.000    0.001    0.000 frame.py:57(__init__)
      326    0.000    0.000    0.000    0.000 flags.py:24(__init__)
      325    0.001    0.000    0.005    0.000 css_parser.py:1094(selector_iter)
      324    0.000    0.000    0.000    0.000 {method 'unpack' of '_struct.Struct' objects}
      323    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
      323    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
      323    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
      322    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
      322    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      321    0.002    0.000    0.120    0.000 __init__.py:280(_compile)
      320    0.001    0.000    0.002    0.000 frame.py:105(parse_frame_header)
      320    0.000    0.000    0.000    0.000 frame.py:147(parse_flags)
      318    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      317    0.000    0.000    0.001    0.000 frame.py:203(__init__)
      317    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
    315/8    0.004    0.000    0.526    0.066 <frozen importlib._bootstrap>:1349(_find_and_load)
      314    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
    314/7    0.001    0.000    0.525    0.075 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      314    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      314    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      313    0.000    0.000    0.120    0.000 __init__.py:226(compile)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      310    0.000    0.000    1.008    0.003 ssl.py:1094(read)
      310    0.000    0.000    1.009    0.003 ssl.py:1225(recv)
      310    0.001    0.000    1.032    0.003 http2.py:424(_read_incoming_data)
      310    0.001    0.000    1.035    0.003 http2.py:335(_receive_events)
      310    0.001    0.000    0.019    0.000 connection.py:1494(receive_data)
      310    0.001    0.000    1.012    0.003 sync.py:124(read)
      310    0.000    0.000    0.000    0.000 frame_buffer.py:39(add_data)
      310    0.000    0.000    0.000    0.000 frame_buffer.py:116(__iter__)
      310    0.000    0.000    0.000    0.000 flags.py:31(__contains__)
      310    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      310    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      310    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      310    0.000    0.000    0.000    0.000 {method '__contains__' of 'set' objects}
      310    1.008    0.003    1.008    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      309    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
      309    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      309    0.002    0.000    0.103    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      309    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      309    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      308    0.000    0.000    0.000    0.000 css_parser.py:238(css_unescape)
      299    0.000    0.000    0.001    0.000 frame.py:296(__init__)
  295/292    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      295    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    295/7    0.001    0.000    0.521    0.074 <frozen importlib._bootstrap>:911(_load_unlocked)
      293    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      293    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
      293    0.000    0.000    0.000    0.000 filter.py:623(_match_attribute_value_helper)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      293    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      292    0.001    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      292    0.000    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      290    0.000    0.000    0.000    0.000 element.py:2160(get)
      287    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
      283    0.001    0.000    0.007    0.000 typing.py:1269(__init__)
      281    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
      278    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      278    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      278    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  268/262    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      267    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      267    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      267    0.003    0.000    0.158    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
