('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1282421 function calls (1258193 primitive calls) in 7.566 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8109    0.002    0.000    0.007    0.000 element.py:2293(__ne__)
     8473    0.002    0.000    0.002    0.000 element.py:2763(descendants)
    27424    0.002    0.000    0.002    0.000 typing.py:2182(cast)
      168    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    11086    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      168    0.002    0.000    0.108    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
    11168    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     7465    0.002    0.000    0.003    0.000 _parser.py:176(append)
      358    0.002    0.000    0.136    0.000 __init__.py:280(_compile)
        2    0.002    0.001    0.002    0.001 models.py:909(text)
     6159    0.002    0.000    0.026    0.000 formatter.py:161(attribute_value)
     6159    0.002    0.000    0.002    0.000 dammit.py:315(quoted_attribute_value)
     5566    0.002    0.000    0.003    0.000 __init__.py:1065(handle_data)
     2628    0.002    0.000    0.015    0.000 element.py:1331(output_ready)
    212/4    0.002    0.000    0.921    0.230 <frozen importlib._bootstrap>:1349(_find_and_load)
      122    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
     9474    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     8588    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      942    0.002    0.000    0.002    0.000 _parser.py:449(_uniq)
       16    0.002    0.000    0.004    0.000 enum.py:1708(convert_class)
     5464    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
     2755    0.002    0.000    0.013    0.000 element.py:426(format_string)
      209    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     5487    0.001    0.000    0.003    0.000 element.py:1234(_self_and)
     4305    0.001    0.000    0.002    0.000 _parser.py:293(tell)
      268    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     8890    0.001    0.000    0.001    0.000 formatter.py:187(<genexpr>)
       11    0.001    0.000    0.006    0.001 filter.py:129(filter)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      254    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
    170/1    0.001    0.000    7.566    7.566 {built-in method builtins.exec}
     6195    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      336    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     5464    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     5232    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     5581    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      901    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     9196    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2965    0.001    0.000    0.004    0.000 filter.py:717(match)
     4255    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     3705    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.001    0.001    0.001    0.001 {built-in method _io.open}
     5462    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
       49    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
       64    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     1057    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      254    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    211/4    0.001    0.000    0.921    0.230 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
