('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1282421 function calls (1258193 primitive calls) in 7.566 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
      209    0.000    0.000    0.000    0.000 enum.py:1292(value)
       44    0.000    0.000    0.000    0.000 functools.py:477(lru_cache)
        3    0.000    0.000    0.095    0.032 exceptions.py:1(<module>)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      190    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       39    0.000    0.000    0.104    0.003 response.py:1151(_handle_chunk)
       19    0.000    0.000    0.000    0.000 typing.py:2505(overload)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:732(parse_pseudo_open)
      121    0.000    0.000    0.000    0.000 dammit.py:297(_substitute_xml_entity)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.018    0.018 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       16    0.000    0.000    0.002    0.000 _htmlparser.py:226(handle_charref)
      315    0.000    0.000    0.000    0.000 socket.py:745(readable)
        7    0.000    0.000    0.002    0.000 typing.py:2790(_make_nmtuple)
        3    0.000    0.000    0.041    0.014 response.py:1(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      2/1    0.000    0.000    1.104    1.104 sessions.py:673(send)
      288    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
  133/115    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
        1    0.000    0.000    0.044    0.044 client.py:1(<module>)
    71/51    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.514    0.514 adapters.py:1(<module>)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 pathlib.py:811(PureWindowsPath)
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
    87/62    0.000    0.000    0.004    0.000 typing.py:515(__getitem__)
        2    0.000    0.000    0.005    0.002 models.py:1(<module>)
       59    0.000    0.000    0.104    0.002 client.py:633(_safe_read)
       25    0.000    0.000    0.001    0.000 typing.py:747(Optional)
        9    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      202    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
       41    0.000    0.000    0.006    0.000 response.py:469(_decode)
        2    0.000    0.000    0.021    0.010 client.py:213(_read_headers)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
       40    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       19    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.057    0.057 connectionpool.py:1(<module>)
        1    0.000    0.000    0.012    0.012 cookiejar.py:1(<module>)
  110/108    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      127    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
        2    0.000    0.000    0.928    0.464 connection.py:485(getresponse)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
      630    0.000    0.000    0.000    0.000 ssl.py:1082(_checkClosed)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
        7    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       62    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        2    0.000    0.000    0.990    0.495 connectionpool.py:592(urlopen)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       40    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
        2    0.000    0.000    0.000    0.000 connection.py:369(request)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      3/2    0.000    0.000    0.963    0.481 sessions.py:159(resolve_redirects)
        1    0.000    0.000    0.025    0.025 ssl_.py:1(<module>)
       72    0.000    0.000    0.000    0.000 typing.py:2339(get_origin)
       12    0.000    0.000    0.000    0.000 queue.py:122(put)
        1    0.000    0.000    0.515    0.515 sessions.py:1(<module>)
      190    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
      158    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
      317    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      138    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       13    0.000    0.000    0.000    0.000 threading.py:124(RLock)
        2    0.000    0.000    0.991    0.496 adapters.py:613(send)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      172    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       14    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
      192    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
        2    0.000    0.000    0.008    0.004 abc.py:1(<module>)
        1    0.000    0.000    0.059    0.059 formatter.py:1(<module>)
        1    0.000    0.000    0.062    0.062 connection.py:669(connect)
        1    0.000    0.000    6.647    6.647 financial.py:55(main)
        2    0.000    0.000    0.927    0.463 client.py:324(begin)
        2    0.000    0.000    0.905    0.453 client.py:291(_read_status)
        1    0.000    0.000    0.004    0.004 _common.py:1(<module>)
        2    0.000    0.000    0.990    0.495 connectionpool.py:377(_make_request)
      124    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
        3    0.000    0.000    0.000    0.000 filter.py:378(__init__)
       63    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       48    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        1    0.000    0.000    0.005    0.005 _typing.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1560(__getitem_inner__)
        1    0.000    0.000    0.024    0.024 ssl.py:955(_create)
        3    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       42    0.000    0.000    0.111    0.003 response.py:1044(stream)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       58    0.000    0.000    0.000    0.000 element.py:2173(get_attribute_list)
       24    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       14    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
        2    0.000    0.000    0.526    0.263 api.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.000    0.000 element.py:1569(Tag)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
        1    0.000    0.000    0.032    0.032 compat.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1994(__init_subclass__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       73    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       13    0.000    0.000    0.000    0.000 queue.py:154(get)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1074(_generic_class_getitem)
        7    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       33    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
        2    0.000    0.000    0.003    0.002 core.py:1(<module>)
       55    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       44    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
        1    0.000    0.000    0.024    0.024 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        2    0.000    0.000    0.000    0.000 __init__.py:666(reset)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
        2    0.000    0.000    0.002    0.001 _collections.py:1(<module>)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
        1    0.000    0.000    0.000    0.000 inspect.py:2393(_signature_from_function)
      240    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
      114    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.002    0.002 ssl_.py:219(create_urllib3_context)
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
        1    0.000    0.000    0.039    0.039 _base_connection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       67    0.000    0.000    0.000    0.000 typing_extensions.py:3410(_is_unpacked_typevartuple)
      7/1    0.000    0.000    0.000    0.000 functools.py:685(_c3_mro)
        2    0.000    0.000    0.032    0.016 parser.py:1(<module>)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
        6    0.000    0.000    0.000    0.000 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
        1    0.000    0.000    0.009    0.009 cd.py:1(<module>)
       14    0.000    0.000    0.015    0.001 css_parser.py:1135(process_selectors)
        3    0.000    0.000    0.000    0.000 typing.py:1749(_get_protocol_attrs)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
      119    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       42    0.000    0.000    0.111    0.003 models.py:816(generate)
        2    0.000    0.000    0.002    0.001 utils.py:204(get_netrc_auth)
       23    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 feedparser.py:100(push)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.000    0.000 wait.py:33(select_wait_for_socket)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.007    0.007 financial.py:28(find_field_values)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       48    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        1    0.000    0.000    0.000    0.000 message.py:977(MIMEPart)
       14    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
        1    0.000    0.000    0.036    0.036 css_parser.py:418(CSSParser)
     10/8    0.000    0.000    0.016    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      114    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.006    0.006 _htmlparser.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.007    0.007 css_match.py:1(<module>)
      121    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
       16    0.000    0.000    0.035    0.002 css_parser.py:296(__init__)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
      265    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
        2    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.008    0.008 header.py:1(<module>)
        1    0.000    0.000    0.038    0.038 connection.py:192(_new_conn)
        3    0.000    0.000    0.006    0.002 element.py:1079(_find_all)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        6    0.000    0.000    0.000    0.000 typing.py:1575(__getitem__)
        3    0.000    0.000    0.001    0.000 utils.py:765(should_bypass_proxies)
        1    0.000    0.000    0.052    0.052 _request_methods.py:1(<module>)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
        2    0.000    0.000    0.001    0.001 parser.py:41(parse)
        1    0.000    0.000    1.106    1.106 sessions.py:500(request)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
        6    0.000    0.000    0.001    0.000 feedparser.py:176(_call_parse)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        8    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       83    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.038    0.038 connection.py:27(create_connection)
       22    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
       10    0.000    0.000    0.000    0.000 connection.py:355(putheader)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:454(__setattr__)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        9    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1680(extract_cookies)
        7    0.000    0.000    0.000    0.000 functools.py:658(_c3_merge)
        5    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        2    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.002    0.002 sessions.py:457(prepare_request)
       26    0.000    0.000    0.000    0.000 enum.py:1404(_iter_member_by_def_)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
        4    0.000    0.000    0.000    0.000 <frozen ntpath>:350(expanduser)
        2    0.000    0.000    0.000    0.000 typing.py:2214(get_type_hints)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
        1    0.000    0.000    0.000    0.000 dammit.py:485(EncodingDetector)
        4    0.000    0.000    0.000    0.000 functools.py:850(register)
      145    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        7    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        1    0.000    0.000    0.003    0.003 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        2    0.000    0.000    0.003    0.001 readers.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        8    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       32    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        3    0.000    0.000    0.001    0.000 utils.py:114(proxy_bypass)
        7    0.000    0.000    0.000    0.000 typing.py:1850(__new__)
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
        2    0.000    0.000    0.927    0.464 client.py:1384(getresponse)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2317(_IPv6Constants)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
       10    0.000    0.000    0.000    0.000 structures.py:40(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        5    0.000    0.000    0.000    0.000 url.py:301(_normalize_host)
        7    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
       44    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        6    0.000    0.000    0.000    0.000 typing.py:1193(__mro_entries__)
       25    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
       59    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      131    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 connection.py:82(HTTPConnection)
        1    0.000    0.000    0.000    0.000 pathlib.py:292(PurePath)
        1    0.000    0.000    0.016    0.016 socket.py:959(getaddrinfo)
        2    0.000    0.000    0.000    0.000 adapters.py:359(build_response)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        2    0.000    0.000    0.002    0.001 _adapters.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1261(__init__)
        9    0.000    0.000    0.000    0.000 typing.py:1442(__mro_entries__)
       40    0.000    0.000    0.000    0.000 message.py:511(set_raw)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:365(Distribution)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000020172C23600}
    66/36    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       12    0.000    0.000    0.000    0.000 element.py:1873(_all_strings)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
       17    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
        2    0.000    0.000    0.000    0.000 ssl.py:1199(sendall)
        1    0.000    0.000    0.000    0.000 mimetypes.py:402(_default_mime_types)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
       32    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.003    0.003 filepost.py:1(<module>)
        2    0.000    0.000    0.410    0.205 _htmlparser.py:449(feed)
       30    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 response.py:864(_raw_read)
        1    0.000    0.000    0.001    0.001 _html5lib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:409(prepare_url)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       34    0.000    0.000    0.000    0.000 typing_extensions.py:3350(_check_generic)
        1    0.000    0.000    0.000    0.000 css_parser.py:667(parse_pseudo_nth)
        4    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)
        7    0.000    0.000    0.000    0.000 sessions.py:61(merge_setting)
        7    0.000    0.000    0.000    0.000 filter.py:224(__init__)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:943(SSLSocket)
      100    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        2    0.000    0.000    0.000    0.000 _collections.py:240(__init__)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 functools.py:798(singledispatch)
        1    0.000    0.000    0.001    0.001 connection.py:114(_has_ipv6)
       24    0.000    0.000    0.000    0.000 <frozen os>:783(encodekey)
        1    0.000    0.000    0.000    0.000 tempfile.py:685(SpooledTemporaryFile)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 response.py:916(read)
       46    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        7    0.000    0.000    0.000    0.000 typing.py:1542(copy_with)
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
        3    0.000    0.000    0.000    0.000 retry.py:202(__init__)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.026    0.026 feedparser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        1    0.000    0.000    0.003    0.003 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
       25    0.000    0.000    0.000    0.000 threading.py:394(notify)
        1    0.000    0.000    0.000    0.000 client.py:252(HTTPResponse)
        1    0.000    0.000    0.000    0.000 ssltransport.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
       54    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:347(__init__)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
        3    0.000    0.000    0.000    0.000 client.py:430(close)
        1    0.000    0.000    0.000    0.000 status_codes.py:1(<module>)
        3    0.000    0.000    0.006    0.002 filter.py:163(find_all)
       45    0.000    0.000    0.000    0.000 typing.py:971(__hash__)
        3    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.025    0.025 _policybase.py:1(<module>)
        1    0.000    0.000    1.106    1.106 api.py:14(request)
        1    0.000    0.000    0.000    0.000 response.py:544(HTTPResponse)
       52    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        3    0.000    0.000    0.000    0.000 utils.py:76(proxy_bypass_registry)
        1    0.000    0.000    0.000    0.000 inspect.py:2497(_signature_from_callable)
        7    0.000    0.000    0.000    0.000 typing.py:1546(__getitem__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        6    0.000    0.000    0.000    0.000 parse.py:829(__getattr__)
        1    0.000    0.000    0.000    0.000 models.py:351(prepare)
        7    0.000    0.000    0.000    0.000 timeout.py:109(__init__)
        1    0.000    0.000    0.000    0.000 sessions.py:390(__init__)
        1    0.000    0.000    0.000    0.000 cookies.py:236(Morsel)
       14    0.000    0.000    0.000    0.000 _htmlparser.py:266(handle_entityref)
        1    0.000    0.000    0.000    0.000 pathlib.py:824(Path)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
       14    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        7    0.000    0.000    0.000    0.000 utils.py:345(to_key_val_list)
        1    0.000    0.000    0.000    0.000 client.py:817(HTTPConnection)
        1    0.000    0.000    0.000    0.000 legacy.py:1(<module>)
        2    0.000    0.000    0.062    0.031 connectionpool.py:1085(_validate_conn)
        7    0.000    0.000    0.111    0.016 models.py:890(content)
        3    0.000    0.000    0.000    0.000 typing.py:381(decorator)
        1    0.000    0.000    0.000    0.000 ssltransport.py:22(SSLTransport)
        8    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        1    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
        4    0.000    0.000    0.000    0.000 utils.py:838(select_proxy)
        7    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        2    0.000    0.000    0.000    0.000 adapters.py:446(get_connection_with_tls_context)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        5    0.000    0.000    0.000    0.000 inspect.py:2739(__init__)
       14    0.000    0.000    0.000    0.000 css_parser.py:449(__init__)
       32    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 client.py:261(__init__)
        1    0.000    0.000    0.000    0.000 response.py:301(BaseHTTPResponse)
        1    0.000    0.000    0.001    0.001 socks.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1869(__init__)
       49    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       18    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        2    0.000    0.000    0.000    0.000 parser.py:256(parse_html_declaration)
        2    0.000    0.000    0.000    0.000 adapters.py:202(__init__)
        1    0.000    0.000    1.106    1.106 api.py:62(get)
       14    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       25    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
       26    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
        1    0.000    0.000    0.000    0.000 ssl.py:504(set_alpn_protocols)
       26    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
